unique_id,osmid,name,geometry,longitude,latitude,usage_count,POI_type,amenity
node/1356962454,1356962454,Lichtdurchlässige Bündelsäule,POINT (6.9697395 50.9697296),6.9697395,50.9697296,1666,POI_tourism,
node/1397138347,1397138347,,POINT (6.9657376 50.9258929),6.9657376,50.9258929,3042,POI_tourism,
node/1397155805,1397155805,,POINT (7.0402514 50.8753861),7.0402514,50.8753861,0,POI_tourism,
node/1408254422,1408254422,,POINT (6.9419544 50.9287182),6.9419544,50.9287182,11998,POI_tourism,
node/1408254423,1408254423,,POINT (6.9435503 50.9289954),6.9435503,50.9289954,9659,POI_tourism,
node/1408259071,1408259071,,POINT (6.920862 50.9341767),6.920862,50.9341767,4332,POI_tourism,
node/1432192579,1432192579,,POINT (6.9620023 50.9229062),6.9620023,50.9229062,8830,POI_tourism,
node/1439241041,1439241041,Columne pro Caelo,POINT (6.9582448 50.9403104),6.9582448,50.9403104,13763,POI_tourism,
node/1444710629,1444710629,First Domizil,POINT (6.9559804 50.941575),6.9559804,50.941575,15983,POI_tourism,
node/1485625574,1485625574,We own you,POINT (6.9381766 50.9265909),6.9381766,50.9265909,8747,POI_tourism,
node/1490854241,1490854241,Amazone 3/9,POINT (6.9497579 50.9413161),6.9497579,50.9413161,9915,POI_tourism,
node/1490854242,1490854242,Der Goldene Vogel,POINT (6.9499854 50.941294),6.9499854,50.941294,10109,POI_tourism,
node/1507365235,1507365235,Bird,POINT (6.9634039 50.9338677),6.9634039,50.9338677,7519,POI_tourism,
node/1507365272,1507365272,,POINT (6.9583168 50.9376432),6.9583168,50.9376432,16260,POI_tourism,
node/1507365286,1507365286,,POINT (6.957015 50.940071),6.957015,50.940071,15935,POI_tourism,
node/1507365325,1507365325,Ma'alot,POINT (6.961214 50.9411372),6.961214,50.9411372,9634,POI_tourism,
node/1562987231,1562987231,Gaea II,POINT (6.9567334 50.9399173),6.9567334,50.9399173,15611,POI_tourism,
node/1592568808,1592568808,,POINT (6.873614 50.9168475),6.873614,50.9168475,0,POI_tourism,
node/1592568839,1592568839,,POINT (6.8759524 50.9170197),6.8759524,50.9170197,0,POI_tourism,
node/1592568912,1592568912,,POINT (6.8746036 50.9176513),6.8746036,50.9176513,0,POI_tourism,
node/1592570119,1592570119,Waldlabor Köln,POINT (6.8770931 50.9187655),6.8770931,50.9187655,0,POI_tourism,
node/1625608545,1625608545,Sappho,POINT (6.951591 50.9374413),6.951591,50.9374413,13347,POI_tourism,
node/1638242980,1638242980,Kulturpfad Rodenkirchen - Tour 3-5: Zwischenwerk VIIIb,POINT (6.9821449 50.8987099),6.9821449,50.8987099,944,POI_tourism,
node/1638243422,1638243422,Skulptur am Fort,POINT (6.982275 50.8979717),6.982275,50.8979717,589,POI_tourism,
node/1638243424,1638243424,Skulptur am Fort,POINT (6.9819551 50.8981336),6.9819551,50.8981336,582,POI_tourism,
node/1638243429,1638243429,Skulptur am Fort,POINT (6.9835684 50.8986033),6.9835684,50.8986033,949,POI_tourism,
node/1676563658,1676563658,Gasthaus Wessel,POINT (7.0818482 50.920834),7.0818482,50.920834,0,POI_tourism,restaurant
node/1679641146,1679641146,Kronleuchtersaal,POINT (6.963442 50.950666),6.963442,50.950666,4664,POI_tourism,
node/1696316902,1696316902,Mecure,POINT (6.9627822 50.9523627),6.9627822,50.9523627,4705,POI_tourism,
node/1704840012,1704840012,Erlebnisweg Rheinschiene - Mehr Platz im Bett,POINT (7.00316 50.8466541),7.00316,50.8466541,0,POI_tourism,
node/1725346191,1725346191,,POINT (7.012225 50.8968396),7.012225,50.8968396,0,POI_tourism,
node/1725346192,1725346192,,POINT (7.0059991 50.8977083),7.0059991,50.8977083,0,POI_tourism,
node/1727311077,1727311077,Erlebnisweg Rheinschiene - In Gottes Namen allzeit gute Fahrt,POINT (7.0144223 50.8964865),7.0144223,50.8964865,0,POI_tourism,
node/1745649822,1745649822,,POINT (6.9643881 50.9896033),6.9643881,50.9896033,380,POI_tourism,
