id,provider,vehicleType,date_start,time_start,date_end,time_end,year,month,weekday,hour,weekend,longitude_start,latitude_start,longitude_end,latitude_end,coordinates_start,coordinates_end,distance,duration,speed
YmlrZTo6Zm9yZHBhc3M6OjE3OTI3OA==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9869910000000015,50.949,6.979147,50.939774,"(50.949, 6.987)","(50.9398, 6.9791)",1163.8117242690328,282.0,14.857170948115312
YmlrZTo6Zm9yZHBhc3M6OjE3OTUyMA==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9981833,50.942898,6.9981303,50.929623,"(50.9429, 6.9982)","(50.9296, 6.9981)",1476.119362151735,282.0,18.84407696363917
YmlrZTo6Zm9yZHBhc3M6OjE3OTgxNw==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.911005,50.936764,6.9359293000000015,50.93630200000001,"(50.9368, 6.911)","(50.9363, 6.9359)",1747.276100976752,282.0,22.305652352894707
YmlrZTo6Zm9yZHBhc3M6OjE4MDA0OA==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.937284,50.926685,6.9166837,50.93086,"(50.9267, 6.9373)","(50.9309, 6.9167)",1516.567942789802,282.0,19.360441822848536
YmlrZTo6Zm9yZHBhc3M6OjE4MDM5Mw==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9335303,50.939972,6.9368353,50.941463,"(50.94, 6.9335)","(50.9415, 6.9368)",284.8013702602468,282.0,3.6357621735350656
YmlrZTo6Zm9yZHBhc3M6OjE4MDQ0NQ==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.913009599999999,50.950104,6.9037848,50.953377,"(50.9501, 6.913)","(50.9534, 6.9038)",741.636966315161,282.0,9.467705952959502
YmlrZTo6Zm9yZHBhc3M6OjE4MzM2Nw==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9324183,50.93404,6.925541,50.921112,"(50.934, 6.9324)","(50.9211, 6.9255)",1516.1867326339911,282.0,19.355575310221163
YmlrZTo6Zm9yZHBhc3M6OjE4NjY1Ng==,fordpass,bicycle,2019-11-19,220,2019-11-19,225,2019,11,1,2,0,6.9369320000000005,50.9535,6.931329300000002,50.9561,"(50.9535, 6.9369)","(50.9561, 6.9313)",487.437306799688,282.0,6.222603916591761
YmlrZTo6Zm9yZHBhc3M6OjE2NzA0Nw==,fordpass,bicycle,2019-11-19,220,2019-11-19,1355,2019,11,1,2,0,6.9333224,50.91601,6.9390364,50.93521,"(50.916, 6.9333)","(50.9352, 6.939)",2172.1845397467555,41682.0,0.1876077045988273
YmlrZTo6Zm9yZHBhc3M6OjE4MDQ2NQ==,fordpass,bicycle,2019-11-19,220,2019-11-19,1740,2019,11,1,2,0,6.9458494,50.941902,6.9288573000000016,50.92761,"(50.9419, 6.9458)","(50.9276, 6.9289)",1985.8001406835654,55182.0,0.1295509497020919
